index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
76,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
77,歌手2018,"洪涛,洪啸","汪峰,张韶涵,洁茜J ,李圣杰,周延",6.6,https://movie.douban.com/subject/27180851/, 中国大陆, 汉语普通话,2018
78,街头美食斗士,朴熙妍,白钟元,9.3,https://movie.douban.com/subject/30207995/, 韩国, 韩语,2018
79,了不起的挑战,陈涤,"撒贝宁,华少,乐嘉,阮经天,沙溢",8.8,https://movie.douban.com/subject/26347994/, 中国大陆 / 韩国, 汉语普通话,2015
80,我们的师父,孔晓一,"于晓光,大张伟,刘宇宁,董思成,牛犇",6.5,https://movie.douban.com/subject/30464904/, 中国大陆, 汉语普通话,2019
81,花儿与少年 第二季,"廖珂,吴梦知,陈歆宇","井柏然,杨洋,毛阿敏,许晴,宁静",7.0,https://movie.douban.com/subject/26261188/, 中国大陆, 汉语普通话 / 英语,2015
82,我是歌手 第一季,洪涛,"陈羽凡,胡海泉,尚雯婕,黄贯中,沙宝亮",7.9,https://movie.douban.com/subject/21966374/, 中国大陆, 汉语普通话,2013
83,奔跑吧兄弟 第二季,岑俊义,"邓超,杨颖,郑恺,李晨,王祖蓝",6.3,https://movie.douban.com/subject/26279203/, 中国大陆, 汉语普通话,2015
84,奇葩说 第三季,"牟頔,梁怡,马东","蔡康永,马东,高晓松,王嫣芸,马薇薇",8.6,https://movie.douban.com/subject/26581134/, 中国大陆, 汉语普通话,2016
85,吐槽大会 第三季,孙忠怀,"张绍刚,李诞,池子,程璐,王建国",6.2,https://movie.douban.com/subject/30362309/, 中国大陆, 汉语普通话,2018
86,一本好书,关正文,"赵立新,黄维德,何雨桐,赵晏博,陈晓楠",9.2,https://movie.douban.com/subject/30337114/, 中国大陆, 汉语普通话,2018
87,这！就是灌篮,朱玲,"周杰伦,李易峰,林书豪,郭艾伦,易建联",8.0,https://movie.douban.com/subject/30201077/, 中国大陆, 汉语普通话,2018
88,花样青春：非洲篇,罗英石,"柳俊烈,安在洪,高庚杓,朴宝剑",9.4,https://movie.douban.com/subject/26715586/, 韩国, 韩语,2016
89,PRODUCE 101 第二季,安俊英,"宝儿,李硕薰,申宥美,朴嘉熙,权宰胜",8.6,https://movie.douban.com/subject/27000583/, 韩国, 韩语,2017
90,粉雄救兵 第二季,,"安东尼·波罗夫斯基,鲍比·伯克,卡拉莫·布朗,乔纳森·凡·奈斯,谭·法郎士",9.4,https://movie.douban.com/subject/30180156/, 美国, 英语,2018
91,非正式会谈 第3.5季,"万龙华,马骁,陶瑶,赵琛,宋晓莉,古雪颖","大左,杨迪,陈铭,贝乐泰,功必扬",8.5,https://movie.douban.com/subject/27602135/, 中国大陆, 汉语普通话,2017
92,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
